domain,IP
minergate.com,107.191.47.239
pool.minergate.com,176.31.105.53
xmr.pool.minergate.com,45.32.233.191
miningpoolhub.com,51.144.104.161
minexmr.com,51.144.119.120
pool.minexmr.com,54.37.7.208
moneropool.com,94.23.251.22
crypto-pool.fr,107.191.47.239
dwarfpool.com,176.31.105.53
xmrpool.eu,45.32.233.191
prohash.net,51.144.104.161
nanopool.org,51.144.119.120
ethereumpool.co,54.37.7.208
suprnova.cc,94.23.251.22
siamining.com,94.130.143.162
multipool.us,134.209.104.20
mining-help.ru,119.23.222.239
xmrminer.cc,47.97.119.5
supportxmr.com,45.43.27.214
monero.hashvault.pro,139.224.15.175
monerohash.com,61.128.111.164
monero.crypto-pool.fr,46.4.119.208
xmrpool.net,94.130.64.225
poolmining.org,185.181.165.20
pool.xmr.pt,185.212.129.80
xmr.prohash.net,185.161.70.34
xmr.poolto.be,202.144.193.184
gandalph3000.com,205.185.122.99
pangolinminer.com,185.193.126.114
hellominer.com,185.193.126.114
coinhive.com,82.221.139.161
coin-hive.com,121.42.151.137
jsecoin.com,3.120.209.58
reasedoper.pw,154.16.67.133
mataharirama.xyz,65.154.226.109
listat.biz,70.42.131.189
lmodr.biz,5.100.251.106
minecrunch.co,91.121.140.167
minemytraffic.com,37.59.43.136
crypto-loot.com,37.59.54.205
sparechange.io,163.172.204.213
8282.space,163.172.204.219
3389.space,163.172.207.198
fee.xmrig.com,163.172.207.71
donate.xmrig.com,163.172.114.218
mine.moneropool.com,163.172.203.178
pool.cortins.tk,163.172.204.213
pool.supportxmr.com,163.172.204.219
xmr.crypto-pool.fr,163.172.205.136
xmrpool.eu,163.172.206.67
koto-pool.work,163.172.207.166
minerxmr.ru,163.172.207.198
r.twotouchauthentication.online,163.172.207.69
zarabotaibitok.ru,163.172.207.71
lokiturtle.herominers.com,163.172.207.88
trtl.cnpool.cc,163.172.224.101
turtle.miner.rocks,163.172.226.114
trtl.pool.mine2gether.com,163.172.226.120
noobxmr.com,163.172.226.128
minexmr.cn,163.172.226.137
moriaxmr.com,163.172.226.194
viaxmr.com,163.172.226.218
xmr-us.suprnova.cc,138.201.20.89
xmr.bohemianpool.com,138.201.27.243
xmr-usa.dwarfpool.com,78.46.87.181
miners.pro,88.99.142.163
zer0day.ru,149.210.234.234
system-update.info,47.101.30.124
system-check.services,47.108.119.77
solarray.club,37.59.43.131
pool.usa-138.com,37.59.43.136
xmr.usa-138.com,91.121.2.76
myxmr.pw,37.59.45.174
xmr.5b6b7b.ru,176.9.2.144
pool.supportxmr.com,78.46.91.134
pool.minexmr.com,78.46.89.102
pool.support,37.187.154.79
pool.monero.hashvault.pro,37.59.54.205
xmrpool.eu,37.59.55.60
cryptonight-hub.miningpoolhub.com,103.195.4.139
xmrpool.net,178.128.108.158
xmr.nanopool.org,68.183.182.120
mixpools.org,178.63.48.196
minergate.com,134.122.57.234
viaxmr.com,185.212.128.180
moriaxmr.com,45.61.136.51
xmr.suprnova.cc,45.61.136.51
moneroocean.stream,97.68.239.202
xmrpool.eu,107.175.127.22
xmrpool.de,13.77.155.141
poolto.be,51.81.245.40
mineXMR.com,178.128.242.134
xmr.prohash.net,185.92.222.223
sheepman.mine.bz,104.140.244.186
xmr.mypool.online,37.59.44.193
bohemianpool.com,45.136.244.146
moneropool.com,94.23.23.52
moneropool.nl,131.153.76.130
iwanttoearn.money,109.94.208.3
pool.xmr.pt,110.93.227.135
monero.crypto-pool.fr,182.1.2.238
monero.miners.pro,27.67.182.91
minercircle.com,35.225.125.226
monero.lindon-pool.win,37.214.86.162
cryptmonero.com,89.183.110.221
teracycle.net,93.81.162.103
ratchetmining.com,198.50.168.213
dwarfpool.com,198.50.152.135
monerohash.com,149.56.122.72
monero.us.to,144.217.67.71
usxmrpool.com,144.217.111.81
xmrpool.xyz,192.99.233.217
minemonero.gq,149.56.122.79
alimabi.cn,192.99.203.53
pooldd.com,198.50.168.213
monero.riefly.id,198.50.152.135
mining.bittubeapp.com,149.56.122.72
crypto-pool.info,144.217.67.71
monero-master.crypto-pool.fr,144.217.111.81
pool.4i7i.com,192.99.233.217
xmr.ip28.net,149.56.122.79
xmr.simka.pw,192.99.203.53
xmrpool.me,3.120.98.217
xmr.crypto-pool.info,172.65.200.133
xmrf.520fjh.org,172.65.200.133
xmrf.fjhan.club,172.65.200.133
xmr.somec.cc,172.65.245.55
pool.somec.cc,172.65.195.177
litecoinpool.org,172.65.200.133
covid19crypto.com,172.65.200.133
f2pool.com,172.65.200.133
hns.f2pool.com,172.65.200.133
xmr.f2pool.com,172.65.192.67
monero.crypto-pool.fr,172.65.196.90
monerohash.com,172.65.200.133
moneropool.com,172.65.223.147
drill.moneroworld.com,172.65.229.122
cryptmonero.com,172.65.255.250
xmr.prohash.net,15.236.100.141
xmr.alimabi.cn,15.236.100.141
xmrpool.eu,18.180.72.219
supportxmr.com,18.180.72.219
minexmr.com,3.125.10.23
minerpool.pw,3.125.10.23
eu.minerpool.pw,3.125.10.23
pool.hashvault.pro,34.252.195.254
d1pool.ddns.net,34.252.195.254
d5pool.us,80.211.206.105
xmr.hex7e4.ru,61.147.103.140
xxx.hex7e4.ru,185.154.13.213
emercoin.com,54.188.223.206
emercoin.net,149.248.6.193
emergate.net,47.100.95.105
seed.emercoin.com,213.252.245.67
seed.emercoin.net,213.252.245.67
seed.emergate.net,213.252.245.67
xmr.bepooh.com,213.252.245.67
us-west.minexmr.com,213.252.245.157
webservicepag.webhop.net,213.252.245.157
donate.ssl.xmrig.com,213.252.245.157
donate.v2.xmrig.com,213.252.245.157
randomx.xmrig.com,213.252.245.157
bizxmr.cc,213.252.245.197
mine.zpool.ca,213.252.245.197
donate.graef.in,213.252.245.197
donate2.graef.in,213.252.245.197
xmrigcc.graef.in,213.252.245.197
mine.c3pool.com,213.252.245.223
winxmr.club,213.252.245.223
monerogb.com,213.252.245.223
monerorx.com,213.252.245.223
miningrigrentals.com,91.121.140.167
pool.armornetwork.org,101.32.73.178
pool2.armornetwork.org,116.203.61.78
herominers.com,119.28.4.91
miner.rocks,149.202.214.40
minerrocks.com,158.247.195.181
masari.miner.rocks,3.112.214.88
sumokoin.minerrocks.com,3.18.108.36
xmr-eu1.nanopool.org,35.153.203.86
xmr-eu2.nanopool.org,35.163.175.186
pool-phx.supportxmr.com,47.241.2.137
unmineable.com,51.75.75.163
rx.unmineable.com,52.195.14.54
cryptominded.com,54.180.146.246
tpool.yiluzhuanqian.com,139.99.120.50
xcn1.yiluzhuanqian.com,49.12.80.38
xmr.yiluzhuanqian.com,49.12.80.39
googleminer.com,49.12.80.40
fr.minexmr.com,51.254.84.37
pool.minexmr.uk,49.12.80.40
xmr.748pz.net,5.189.171.187
2miners.com,159.65.206.137
xmr.2miners.com,205.147.109.89
bmpool.org,135.181.62.60
mine.bmpool.org,135.181.62.60
kronecoin.org,109.122.17.187
seed.kronecoin.org,109.122.19.233
fastpool.xyz,109.122.21.57
ppxxmr.com,109.200.230.228
huadong1-aeon.ppxxmr.com,109.200.239.116
jw-js1.ppxxmr.com,110.174.11.117
mine.ppxxmr.com,115.196.176.31
mine1.ppxxmr.com,115.70.207.118
miner.ppxxmr.com,132.255.172.2
pool.ppxxmr.com,135.181.62.60
poolchange.ppxxmr.com,141.255.84.48
ppxvip1.ppxxmr.com,173.249.36.200
xmr.ppxxmr.com,179.203.251.42
titcoinpool.com,183.212.113.247
titcoins.info,185.103.153.205
seed.titcoinpool.com,185.109.168.132
seed.titcoins.info,185.220.101.18
joulecoin.org,188.124.42.105
seed1.joulecoin.org,188.166.113.181
seed2.joulecoin.org,195.74.76.237
seed3.joulecoin.org,2.229.120.121
seed4.joulecoin.org,217.144.175.237
seed5.joulecoin.org,217.146.82.102
seed6.joulecoin.org,31.4.236.97
seed7.joulecoin.org,31.4.247.155
seed8.joulecoin.org,37.120.133.73
moneroocean.stream,45.154.14.95
gulf.moneroocean.stream,45.77.152.180
jp.moneroocean.stream,45.77.152.180
luckpool.net,45.77.152.180
ap.luckpool.net,46.250.25.121
eu.luckpool.net,46.250.26.211
na.luckpool.net,52.143.28.3
node3.luckpool.net,62.171.176.187
,62.80.191.164
,74.74.76.149
,77.247.181.163
,78.180.38.32
,79.147.150.181
,82.42.36.23
,83.51.143.62
,84.66.171.180
,87.168.45.14
,89.187.1.234
,93.73.141.143
,95.151.35.130
,95.213.193.198
,95.213.193.235
,95.26.150.131
,168.119.11.231
,119.205.235.58
,119.205.235.58
,136.243.90.99
,136.243.90.99
,153.127.216.132
,94.176.237.229
,94.176.237.229
,94.176.237.229
,149.202.42.174
,151.80.144.188
,198.251.88.21
,213.32.74.157
,51.15.78.68
,5.196.26.96
,51.15.55.100
,51.15.55.162
,51.15.58.224
,51.15.67.17
,51.15.69.136
,51.255.34.118
,51.255.34.79
,51.255.34.80
,79.137.82.70
,92.222.10.59
,92.222.180.118
,172.94.88.173
,49.12.80.40
,37.187.95.110
,159.65.30.104
,149.202.83.171
,37.187.95.110
,91.121.140.167
,94.23.23.52
,94.23.247.226
,49.12.80.38
,49.12.80.39
,178.32.120.127
,192.110.160.114
,157.90.156.89
,178.63.100.197
,217.182.169.148
,51.255.34.118
,195.201.124.214
,107.178.104.10
,104.31.70.206
,104.31.71.206
,130.185.202.159
,213.91.128.133
,35.204.154.155
,51.15.55.162
,51.81.195.38
,18.180.72.219
,149.202.83.171
,51.255.34.80
,116.203.4.0
,18.180.72.219
,136.244.80.197
,142.202.242.43
,139.99.123.225
,144.217.253.98
,149.56.27.47
,192.99.68.109
,66.70.189.125
,79.137.70.48
,162.19.139.184
,51.89.96.41
,194.145.227.21
,194.145.227.21
,213.32.74.157
,162.19.139.184
,51.15.69.136
,125.253.92.50
,131.153.142.106
